Date,SEPHORAStoreNo,TotalQtySold,TotalGrossSales
{"":"2024-08-18,0001,0,0
{"":"2024-08-18,0010,14,645.5
{"":"2024-08-18,0012,11,466.5
{"":"2024-08-18,0014,11,570.5
{"":"2024-08-18,0016,20,1134
{"":"2024-08-18,0018,23,1229
{"":"2024-08-18,0020,28,1230.5
{"":"2024-08-18,0022,9,449.5
{"":"2024-08-18,0024,22,1113.5
{"":"2024-08-18,0026,21,924.5
{"":"2024-08-18,0028,10,261.5
{"":"2024-08-18,0030,15,664.5
{"":"2024-08-18,0032,25,1409.5
{"":"2024-08-18,0034,19,924.5
{"":"2024-08-18,0036,70,3745.5
{"":"2024-08-18,0038,35,1681
{"":"2024-08-18,0040,20,1187.5
{"":"2024-08-18,0044,10,332.5
{"":"2024-08-18,0046,15,584.5
{"":"2024-08-18,0048,40,2534.5
{"":"2024-08-18,0050,28,1472.5
{"":"2024-08-18,0052,6,253.5
{"":"2024-08-18,0054,6,274
{"":"2024-08-18,0056,8,546
{"":"2024-08-18,0058,16,497
{"":"2024-08-18,0060,14,555
{"":"2024-08-18,0062,13,616
{"":"2024-08-18,0064,11,439
{"":"2024-08-18,0066,33,1173.5
{"":"2024-08-18,0068,24,1056
{"":"2024-08-18,0070,7,213
{"":"2024-08-18,0072,8,432.5
{"":"2024-08-18,0074,22,945
{"":"2024-08-18,0076,10,348.5
{"":"2024-08-18,0078,53,2315
{"":"2024-08-18,0080,8,386
{"":"2024-08-18,0082,28,1536
{"":"2024-08-18,0084,66,3769.5
{"":"2024-08-18,0086,19,591.5
{"":"2024-08-18,0088,7,290
{"":"2024-08-18,0090,15,599
{"":"2024-08-18,0092,24,1522
{"":"2024-08-18,0094,11,395.5
{"":"2024-08-18,0096,28,1455.5
{"":"2024-08-18,0098,13,487
{"":"2024-08-18,0100,26,1037
{"":"2024-08-18,0102,17,977.5
{"":"2024-08-18,0104,8,321
{"":"2024-08-18,0106,45,2321.5
{"":"2024-08-18,0108,12,551
{"":"2024-08-18,0110,30,1326.5
{"":"2024-08-18,0112,62,3264
{"":"2024-08-18,0114,7,406.5
{"":"2024-08-18,0116,16,721
{"":"2024-08-18,0120,26,1158
{"":"2024-08-18,0122,2,88.5
{"":"2024-08-18,0124,17,832
{"":"2024-08-18,0126,14,808
{"":"2024-08-18,0130,11,506.5
{"":"2024-08-18,0132,13,615
{"":"2024-08-18,0134,3,138
{"":"2024-08-18,0138,10,460
{"":"2024-08-18,0140,0,0
{"":"2024-08-18,0142,9,314.5
{"":"2024-08-18,0144,8,227.5
{"":"2024-08-18,0146,17,639
{"":"2024-08-18,0148,25,1277
{"":"2024-08-18,0150,11,376
{"":"2024-08-18,0152,17,810.5
