Date,ULTAStoreNo,City,TotalQtySold,TotalGrossSales
{"":"2024-08-18,7,Orland Park              ,28,1168.5
{"":"2024-08-18,8,Wheaton                  ,43,1726
{"":"2024-08-18,12,Hodgkins                 ,13,520
{"":"2024-08-18,23,Chicago                  ,2,-225.5
{"":"2024-08-18,25,Kennesaw                 ,16,830
{"":"2024-08-18,33,Scottsdale               ,25,1162
{"":"2024-08-18,35,Phoenix                  ,15,919
{"":"2024-08-18,37,Phoenix                  ,12,487
{"":"2024-08-18,40,Norridge                 ,13,707.5
{"":"2024-08-18,41,Merrillville             ,14,649
{"":"2024-08-18,43,Smyrna                   ,28,899
{"":"2024-08-18,44,Chicago                  ,16,839.5
{"":"2024-08-18,47,Peoria                   ,2,145
{"":"2024-08-18,54,Levittown                ,27,1170.5
{"":"2024-08-18,55,Lake Grove               ,29,1904.5
{"":"2024-08-18,58,Littleton                ,25,1351.5
{"":"2024-08-18,65,Minnetonka               ,13,696
{"":"2024-08-18,66,Patchogue                ,22,1060
{"":"2024-08-18,67,Gurnee                   ,33,2206.5
{"":"2024-08-18,68,Commack                  ,43,2682.5
{"":"2024-08-18,69,Geneva                   ,33,1788.5
{"":"2024-08-18,70,Denver                   ,29,1841
{"":"2024-08-18,72,Atlanta                  ,29,1027
{"":"2024-08-18,75,Austin                   ,37,1407
{"":"2024-08-18,77,Scottsdale               ,44,2304
{"":"2024-08-18,80,Buford                   ,25,1236.5
{"":"2024-08-18,82,Fort Worth               ,50,2518.5
{"":"2024-08-18,83,Humble                   ,14,566.5
{"":"2024-08-18,86,Wilmington               ,28,982.5
{"":"2024-08-18,87,Plano                    ,14,571.5
{"":"2024-08-18,90,Naperville               ,19,598
{"":"2024-08-18,91,Round Rock               ,24,1267.5
{"":"2024-08-18,92,Southlake                ,8,470.5
{"":"2024-08-18,93,Katy                     ,16,428.5
{"":"2024-08-18,94,Hurst                    ,22,844.5
{"":"2024-08-18,95,Lakewood                 ,22,1170
{"":"2024-08-18,96,Wyomissing               ,17,696.5
{"":"2024-08-18,97,Skokie                   ,16,740.5
{"":"2024-08-18,98,Frisco                   ,22,931.5
{"":"2024-08-18,99,Chandler                 ,52,2583
{"":"2024-08-18,100,Las Vegas                ,30,1673
{"":"2024-08-18,101,Plymouth Meeting         ,25,930.5
{"":"2024-08-18,103,Roseville                ,52,3345.5
{"":"2024-08-18,104,Mount Laurel             ,51,2345.5
{"":"2024-08-18,105,Woodstock                ,23,968
{"":"2024-08-18,106,Marlton                  ,22,1110
{"":"2024-08-18,108,Phoenix                  ,31,1808
{"":"2024-08-18,109,Princeton                ,39,2032
{"":"2024-08-18,111,Kildeer                  ,16,568.5
{"":"2024-08-18,113,Louisville               ,29,1233.5
{"":"2024-08-18,116,Homestead                ,7,410
{"":"2024-08-18,121,Chicago                  ,8,391
{"":"2024-08-18,122,Coon Rapids              ,12,501.5
{"":"2024-08-18,123,Edgewater                ,20,882.5
{"":"2024-08-18,124,Citrus Heights           ,36,1822.5
